ID,Manzana,Lote,Superficie,Estado,Cuota,Total,Descuento,Contado,Entrega ,
"001-RESIDENCIAL ALTO PARAISO
",,,,,,,,,,
3-D-3,D,3,,Libre,650000,84500000,0.5,42250000,,3
3-A-4,A,4,360,Libre,450000,58500000,0.5,29250000,,3
3-B-4,B,4,,Cancelado,,0,0.5,0,,3
3-C-4,C,4,,Vendido,,0,0.5,0,,3
3-D-4,D,4,,Libre,700000,91000000,0.5,45500000,,3
3-A-5,A,5,360,Libre,450000,58500000,0.5,29250000,,3
3-B-5,B,5,,Cancelado,,0,0.5,0,,3
3-C-5,C,5,,Vendido,,0,0.5,0,,3
3-D-5,D,5,,Libre,700000,91000000,0.5,45500000,,3
3-A-6,A,6,360,Libre,450000,58500000,0.5,29250000,,3
3-B-6,B,6,,Cancelado,,0,0.5,0,,3
3-C-6,C,6,,Vendido,,0,0.5,0,,3
3-D-6,D,6,,Libre,750000,97500000,0.5,48750000,,3
3-A-7,A,7,360,Libre,450000,58500000,0.5,29250000,,3
3-B-7,B,7,360,Vendido,700000,91000000,0.5,45500000,,3
3-C-7,C,7,,Vendido,,0,0.5,0,,3
3-D-7,D,7,,Libre,750000,97500000,0.5,48750000,,3
3-A-8,A,8,360,Libre,600000,78000000,0.5,39000000,,3
3-B-8,B,8,360,Libre,650000,84500000,0.5,42250000,,3
3-C-8,C,8,,Cancelado,,0,0.5,0,,3
3-D-8,D,8,,Libre,750000,97500000,0.5,48750000,,3
3-A-9,A,9,360,Libre,600000,78000000,0.5,39000000,,3
3-B-9,B,9,360,Libre,680000,88400000,0.5,44200000,,3
3-C-9,C,9,,Vendido,,0,0.5,0,,3
3-D-9,D,9,,Libre,750000,97500000,0.5,48750000,,3
3-A-10,A,10,360,Libre,600000,78000000,0.5,39000000,,3
3-B-10,B,10,,Libre,650000,84500000,0.5,42250000,,3
3-C-10,C,10,,Vendido,,0,0.5,0,,3
3-A-11,A,11,360,Libre,600000,78000000,0.5,39000000,,3
3-B-11,B,11,,Vendido,650000,84500000,0.5,42250000,,3
3-C-11,C,11,,Vendido,,0,0.5,0,,3
3-A-12,A,12,,Cancelado,,0,0.5,0,,3
3-B-12,B,12,,Vendido,,0,0.5,0,,3
3-C-12,C,12,,Vendido,,0,0.5,0,,3
3-A-13,A,13,360,Libre,550000,71500000,0.5,35750000,,3
3-B-13,B,13,,Vendido,,0,0.5,0,,3
3-C-13,C,13,,Vendido,,0,0.5,0,,3
3-A-14,A,14,360,Libre,550000,71500000,0.5,35750000,,3
3-C-14,C,14,,Vendido,,0,0.5,0,,3
3-A-15,A,15,360,Libre,550000,71500000,0.5,35750000,,3
3-C-15,C,15,,Vendido,,0,0.5,0,,3
3-A-16,A,16,360,Libre,550000,71500000,0.5,35750000,,3
3-C-16,C,16,,Libre,700000,91000000,0.5,45500000,,3
3-A-17,A,17,,Libre,550000,71500000,0.5,35750000,,3
3-C-17,C,17,,Libre,700000,91000000,0.5,45500000,,3
3-A-18,A,18,,Libre,400000,52000000,0.5,26000000,,3
3-C-18,C,18,,Vendido,,0,0.5,0,,3
"004-RESIDENIAL VILLA ROSITA 2
",,,,,,,,,,
4-22-9,22,9,,Vendido,,0,0.5,0,,4
4-22-10,22,10,,Cancelado,,0,0.5,0,,4
4-22-11,22,11,,Vendido,,0,0.5,0,,4
4-22-12,22,12,,Vendido,,0,0.5,0,,4
4-22-13,22,13,,Vendido,,0,0.5,0,,4
4-22-14,22,14,,Vendido,,0,0.5,0,,4
4-22-15,22,15,,Vendido,,0,0.5,0,,4
4-22-16,22,16,,Vendido,,0,0.5,0,,4
"005-RESIDENCIAL SAGRADO NORTEÑO
",,,,,,,,,,
5-1-1,1,2,,Reserva de propietario,,0,,,,
5-1-2,1,2,,Reserva de propietario,,0,,,,
5-2-1,2,1,360,Vendido,,0,0.5,0,,5
5-2-2,2,2,,Libre,800000,104000000,0.5,52000000,,5
5-2-3,2,3,,Libre,800000,104000000,0.5,52000000,,5
5-2-4,2,4,,Libre,800000,104000000,0.5,52000000,,5
5-2-5,2,5,360,Vendido,,0,0.5,0,,5
5-2-6,2,6,360,Vendido,,0,0.5,0,,5
5-2-7,2,7,,Libre,800000,104000000,0.5,52000000,,5
5-2-8,2,8,,Libre,800000,104000000,0.5,52000000,,5
5-2-9,2,9,,Libre,800000,104000000,0.5,52000000,,5
5-3-1,3,1,,Libre,800000,104000000,0.5,52000000,,5
5-3-2,3,2,,Libre,700000,91000000,0.5,45500000,,5
5-3-3,3,3,,Libre,700000,91000000,0.5,45500000,,5
5-3-4,3,4,,Libre,700000,91000000,0.5,45500000,,5
5-3-5,3,5,,Libre,600000,78000000,0.5,39000000,,5
5-3-6,3,6,,Libre,600000,78000000,0.5,39000000,,5
5-3-7,3,7,,Libre,600000,78000000,0.5,39000000,,5
5-3-8,3,8,,Libre,600000,78000000,0.5,39000000,,5
5-3-9,3,9,,Libre,650000,84500000,0.5,42250000,,5
5-4-1,4,1,,Libre,600000,78000000,0.5,39000000,,5
5-4-2,4,2,526,Vendido,,0,0.5,0,,5
5-4-3,4,3,,Libre,600000,78000000,0.5,39000000,,5
5-4-4,4,4,420,Vendido,,0,0.5,0,,5
5-4-5,4,5,360,Vendido,,0,0.5,0,,5
5-4-6,4,6,,Libre,550000,71500000,0.5,35750000,,5
5-4-7,4,7,,Libre,550000,71500000,0.5,35750000,,5
5-4-8,4,8,,Libre,550000,71500000,0.5,35750000,,5
5-4-9,4,9,,Libre,550000,71500000,0.5,35750000,,5
5-5-1,5,1,,Vendido,600000,78000000,0.5,39000000,,5
5-5-2,5,2,,Vendido,600000,78000000,0.5,39000000,,5
5-5-3,5,3,,Libre,600000,78000000,0.5,39000000,,5
5-5-4,5,4,,Vendido,,0,0.5,0,,5
5-5-5,5,5,,Vendido,,0,0.5,0,,5
5-5-6,5,6,,Anulado,,0,0.5,0,,5
5-5-7,5,7,,Libre,550000,71500000,0.5,35750000,,5
5-5-8,5,8,,Libre,600000,78000000,0.5,39000000,,5
5-5-9,5,9,,Anulado,,0,0.5,0,,5
5-6-1,6,1,,Vendido,550000,71500000,0.5,35750000,,5
5-6-2,6,2,,Libre,500000,65000000,0.5,32500000,,5
5-6-3,6,3,,Libre,500000,65000000,0.5,32500000,,5
5-6-4,6,4,,Vendido,,0,0.5,0,,5
5-6-5,6,5,,Libre,480000,62400000,0.5,31200000,,5
5-6-6,6,6,,Libre,480000,62400000,0.5,31200000,,5
5-6-7,6,7,,Libre,480000,62400000,0.5,31200000,,5
5-6-8,6,8,,Libre,480000,62400000,0.5,31200000,,5
5-6-9,6,9,,Libre,480000,62400000,0.5,31200000,,5
5-7-1,7,1,,Vendido,,0,0.5,0,,5
5-7-2,7,2,,Libre,450000,58500000,0.5,29250000,,5
5-7-3,7,3,,Vendido,,0,0.5,0,,5
5-7-4,7,4,,Libre,500000,65000000,0.5,32500000,,5
5-7-5,7,5,,Vendido,400000,52000000,0.5,26000000,,5
5-7-6,7,6,,Libre,500000,65000000,0.5,32500000,,5
5-7-7,7,7,,Libre,450000,58500000,0.5,29250000,,5
5-7-8,7,8,,Libre,500000,65000000,0.5,32500000,,5
5-7-9,7,9,,Cancelado,,0,0.5,0,,5
5-8-1,8,1,,Plaza,,0,,,,
5-9-1,9,1,,Vendido,,0,0.5,0,,5
5-9-2,9,2,,Vendido,400000,52000000,0.5,26000000,,5
5-9-3,9,3,,Libre,400000,52000000,0.5,26000000,,5
5-9-4,9,4,,Vendido,450000,58500000,0.5,29250000,,5
5-9-5,9,5,,Vendido,400000,52000000,0.5,26000000,,5
5-9-6,9,6,,Libre,400000,52000000,0.5,26000000,,5
5-9-7,9,7,,Libre,400000,52000000,0.5,26000000,,5
5-9-8,9,8,,Vendido,,0,0.5,0,,5
5-9-9,9,9,,Vendido,,0,0.5,0,,5
5-10-1,10,1,,Libre,550000,71500000,0.5,35750000,,5
5-10-2,10,2,,Libre,550000,71500000,0.5,35750000,,5
5-10-3,10,3,,Libre,550000,71500000,0.5,35750000,,5
5-10-4,10,4,,Libre,550000,71500000,0.5,35750000,,5
5-10-5,10,5,,Libre,530000,68900000,0.5,34450000,,5
5-10-6,10,6,,Libre,530000,68900000,0.5,34450000,,5
5-10-7,10,7,,Libre,530000,68900000,0.5,34450000,,5
5-10-8,10,8,,Libre,530000,68900000,0.5,34450000,,5
5-10-9,10,9,,Libre,530000,68900000,0.5,34450000,,5
5-11-1,11,1,,Reserva de propietario,,0,0.5,0,,5
5-11-2,11,2,,Reserva de propietario,,0,0.5,0,,5
5-11-3,11,3,,Reserva de propietario,,0,0.5,0,,5
5-11-4,11,4,,Reserva de propietario,,0,0.5,0,,5
5-11-5,11,5,,Reserva de propietario,,0,0.5,0,,5
5-11-6,11,6,,Reserva de propietario,,0,0.5,0,,5
5-11-7,11,7,,Reserva de propietario,,0,0.5,0,,5
5-11-8,11,8,,Reserva de propietario,,0,0.5,0,,5
5-11-9,11,9,,Reserva de propietario,,0,0.5,0,,5
"006-RESIDENCIAL LOS MANGALES I
",,,,,,,,,,
6-1-1,1,1,,Cancelado,,0,0.5,0,,6
6-1-2,1,2,,Cancelado,,0,0.5,0,,6
6-1-3,1,3,,Vendido,,0,0.5,0,,6
6-1-4,1,4,,Cancelado,,0,0.5,0,,6
6-1-5,1,5,,Vendido,,0,0.5,0,,6
6-1-6,1,6,,Vendido,,0,0.5,0,,6
6-1-7,1,7,,Vendido,,0,0.5,0,,6
6-1-8,1,8,,Cancelado,,0,0.5,0,,6
6-1-9,1,9,,Vendido,,0,0.5,0,,6
6-1-10,1,10,,Vendido,,0,0.5,0,,6
6-1-11,1,11,,Vendido,,0,0.5,0,,6
6-1-12,1,12,,Cancelado,,0,0.5,0,,6
6-2-1,2,1,,Vendido,,0,0.5,0,,6
6-2-2,2,2,,Vendido,,0,0.5,0,,6
6-2-3,2,3,,Vendido,,0,0.5,0,,6
6-2-4,2,4,,Vendido,,0,0.5,0,,6
6-2-5,2,5,,Vendido,,0,0.5,0,,6
6-2-6,2,6,,Vendido,,0,0.5,0,,6
6-2-7,2,7,,Vendido,,0,0.5,0,,6
6-2-8,2,8,,Vendido,,0,0.5,0,,6
6-2-9,2,9,,Vendido,,0,0.5,0,,6
6-2-10,2,10,,Vendido,,0,0.5,0,,6
6-2-11,2,11,,Vendido,,0,0.5,0,,6
6-2-12,2,12,,Vendido,,0,0.5,0,,6
6-2-13,2,13,,Vendido,,0,0.5,0,,6
6-3-1,3,1,,Vendido,,0,0.5,0,,6
6-3-2,3,2,,Vendido,,0,0.5,0,,6
6-3-3,3,3,,Vendido,,0,0.5,0,,6
6-3-4,3,4,,Vendido,,0,0.5,0,,6
"007-RESIDENCIAL LOS MANGALES II
",,,,,,,,,,
7-1-1,1,1,,Vendido,,0,0.5,0,,7
7-1-2,1,2,,Vendido,,0,0.5,0,,7
7-1-3,1,3,,Vendido,,0,0.5,0,,7
7-1-4,1,4,360,Vendido,,0,0.5,0,,7
7-1-5,1,5,,Vendido,,0,0.5,0,,7
7-1-6,1,6,,Vendido,,0,0.5,0,,7
7-1-7,1,7,,Vendido,,0,0.5,0,,7
7-1-8,1,8,,Vendido,,0,0.5,0,,7
7-1-9,1,9,,Vendido,,0,0.5,0,,7
7-1-10,1,10,,Vendido,,0,0.5,0,,7
7-1-11,1,11,,Vendido,,0,0.5,0,,7
7-2-1,2,1,,Vendido,,0,0.5,0,,7
7-2-2,2,2,420,Vendido,,0,0.5,0,,7
7-2-3,2,3,486.6,Vendido,,0,0.5,0,,7
"008-RESIDENCIAL EL RODEO
",,,,,,,,,,
8-1-1,1,1,433.65,Libre,520000,67600000,0.3,47320000,,8
8-1-2,1,2,360,Libre,400000,52000000,0.3,36400000,,8
8-1-3,1,3,360,Libre,400000,52000000,0.3,36400000,,8
8-1-4,1,4,360,Libre,400000,52000000,0.3,36400000,,8
8-1-5,1,5,,Vendido,,0,0.3,0,,8
8-1-6,1,6,,Vendido,,0,0.3,0,,8
8-1-7,1,7,,Vendido,,0,0.3,0,,8
8-1-8,1,8,360,Libre,400000,52000000,0.3,36400000,,8
8-1-9,1,9,360,Libre,400000,52000000,0.3,36400000,,8
8-1-10,1,10,,Vendido,,0,0.3,0,,8
8-1-11,1,11,,Vendido,,0,0.3,0,,8
8-1-12,1,12,,Vendido,,0,0.3,0,,8
8-1-13,1,13,,Vendido,,0,0.3,0,,8
8-1-14,1,14,,Vendido,,0,0.3,0,,8
8-1-15,1,15,,Vendido,,0,0.3,0,,8
8-1-16,1,16,,Vendido,,0,0.3,0,,8
8-1-17,1,17,,Vendido,,0,0.3,0,,8
8-1-18,1,18,,Vendido,,0,0.3,0,,8
8-1-19,1,19,,Vendido,,0,0.3,0,,8
8-1-20,1,20,,Vendido,,0,0.3,0,,8
8-1-21,1,21,,Vendido,,0,0.3,0,,8
8-1-22,1,22,,Vendido,,0,0.3,0,,8
8-1-23,1,23,,Vendido,,0,0.3,0,,8
8-1-24,1,24,360,Libre,360000,46800000,0.3,32759999.999999996,,8
8-1-25,1,25,,Vendido,,0,0.3,0,,8
8-1-26,1,26,651.24,Libre,760000,98800000,0.3,69160000,,8
8-1-27,1,27,413.99,Libre,460000,59800000,0.3,41860000,,8
8-2-1,2,1,372.44,Libre,520000,67600000,0.3,47320000,,8
8-2-2,2,2,360,Libre,400000,52000000,0.3,36400000,,8
8-2-3,2,3,,Cancelado,,0,0.3,0,,8
8-2-4,2,4,,Vendido,,0,0.3,0,,8
8-2-5,2,5,360,Libre,435000,56550000,0.3,39585000,,8
8-2-6,2,6,,Vendido,,0,0.3,0,,8
8-2-7,2,7,360,Libre,435000,56550000,0.3,39585000,,8
8-2-8,2,8,360,Libre,435000,56550000,0.3,39585000,,8
8-2-9,2,9,,Vendido,,0,0.3,0,,8
8-2-10,2,10,360,Libre,435000,56550000,0.3,39585000,,8
8-2-11,2,11,,Vendido,,0,0.3,0,,8
8-2-12,2,12,,Vendido,,0,0.3,0,,8
8-2-13,2,13,390.19,Libre,520000,67600000,0.3,47320000,,8
8-2-14,2,14,,Vendido,,0,0.3,0,,8
8-2-15,2,15,,Vendido,,0,0.3,0,,8
8-2-16,2,16,,Vendido,,0,0.3,0,,8
8-2-17,2,17,,Vendido,,0,0.3,0,,8
8-2-18,2,18,360,Libre,400000,52000000,0.3,36400000,,8
8-2-19,2,19,360,Libre,400000,52000000,0.3,36400000,,8
8-2-20,2,20,360,Libre,400000,52000000,0.3,36400000,,8
8-2-21,2,21,360,Libre,400000,52000000,0.3,36400000,,8
8-2-22,2,22,360,Libre,350000,45500000,0.3,31849999.999999996,,8
8-2-23,2,23,360,Libre,350000,45500000,0.3,31849999.999999996,,8
8-2-24,2,24,360,Libre,400000,52000000,0.3,36400000,,8
8-2-25,2,25,,Vendido,,0,0.3,0,,8
8-2-26,2,26,382.09,Libre,520000,67600000,0.3,47320000,,8
8-2-27,2,27,470.07,Libre,520000,67600000,0.3,47320000,,8
8-2-28,2,28,371.14,Libre,460000,59800000,0.3,41860000,,8
8-3-1,3,1,410.01,Libre,520000,67600000,0.3,47320000,,8
8-3-2,3,2,,Vendido,,0,0.3,0,,8
8-3-3,3,3,,Plaza,,0,,,,
8-3-4,3,4,,Edificio Publico,,0,,,,
8-3-5,3,5,,Vendido,,0,0.3,0,,8
